Place Name,lat,lon
Aguilar,37.40361111,-104.655
Akron,40.16333333,-103.2202778
Alamosa,37.47527778,-105.8769444
Alma,39.28583333,-106.0669444
Antonito,37.07611111,-106.0102778
Arriba,39.28444444,-103.2741667
Arvada,39.83194444,-105.1511111
Aspen,39.195,-106.8366667
Ault,40.58916667,-104.7391667
Aurora,39.70833333,-104.7238889
Avon,39.64416667,-106.5130556
Basalt,39.36638889,-107.0413889
Bayfield,37.23416667,-107.5952778
Bennett,39.73666667,-104.4286111
Berthoud,40.30722222,-105.0425
Bethune,39.30388889,-102.4233333
Black Hawk,39.80416667,-105.495
Blanca,37.43916667,-105.5136111
Blue River[c],39.43583333,-106.0352778
Bonanza[d],38.29666667,-106.1419444
Boone,38.24944444,-104.2580556
Boulder,40.02472222,-105.2525
Bow Mar,39.62527778,-105.0511111
Branson,37.01555556,-103.8838889
Breckenridge[g],39.49944444,-106.0433333
Brighton,39.97166667,-104.7963889
Brookside[h],38.41361111,-105.1908333
Broomfield,39.95416667,-105.0527778
Brush,40.26,-103.6322222
Buena Vista,38.83194444,-106.1386111
Burlington,39.30416667,-102.2713889
Calhan,39.03444444,-104.2994444
Campo,37.10472222,-102.5788889
Ca–on City,38.44305556,-105.2202778
Carbonate[k],39.74416667,-107.3391667
Carbondale,39.395,-107.2147222
Castle Pines,39.4625,-104.8705556
Castle Rock,39.37611111,-104.8536111
Cedaredge,38.89416667,-107.9255556
Centennial,39.5925,-104.8672222
Center,37.75111111,-106.1105556
Central City,39.79472222,-105.5119444
Cheraw,38.1075,-103.5111111
Cherry Hills Village,39.6375,-104.9480556
Cheyenne Wells,38.81916667,-102.3519444
Coal Creek,38.36222222,-105.1422222
Cokedale,37.14416667,-104.6216667
Collbran,39.24,-107.9636111
Colorado Springs,38.8675,-104.7605556
Columbine Valley[m],39.59944444,-105.0352778
Commerce City,39.86416667,-104.8430556
Cortez,37.35027778,-108.5766667
Craig,40.51694444,-107.5552778
Crawford,38.705,-107.6097222
Creede,37.84861111,-106.9252778
Crested Butte,38.8675,-106.9772222
Crestone,37.99444444,-105.6961111
Cripple Creek,38.74666667,-105.185
Crook,40.85888889,-102.8013889
Crowley,38.19361111,-103.8597222
Dacono,40.06222222,-104.9477778
De Beque,39.31027778,-108.205
Deer Trail,39.615,-104.0433333
Del Norte,37.67833333,-106.3538889
Delta,38.75611111,-108.0772222
