City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
0,Aguilar,1626742800,37.4036,-104.655,2,193.6,0.04,0.59,91.55,0.13,7.49,9.81,0.88,480,2021,7,20,1,0
1,Akron,1626742800,40.1633,-103.2203,2,193.6,0.03,0.56,89.41,0.16,8.52,9.54,1.01,"1,723",2021,7,20,1,0
2,Alamosa,1626742800,37.4753,-105.8769,2,176.91,0.03,0.61,107.29,0.28,8.46,9.73,0.67,"9,591",2021,7,20,1,0
3,Alma,1626742800,39.2858,-106.0669,2,175.24,0.05,0.66,115.87,1.15,14.75,16.21,0.56,313,2021,7,20,1,0
4,Antonito,1626742800,37.0761,-106.0103,2,173.57,0.02,0.58,97.28,0.19,6.86,7.84,0.74,747,2021,7,20,1,0
5,Arriba,1626742800,39.2844,-103.2742,2,193.6,0.03,0.46,95.84,0.23,10.41,11.6,0.97,207,2021,7,20,1,0
6,Arvada,1626742800,39.8319,-105.1511,3,208.62,0.29,4.63,130.18,0.83,14.58,16.34,1.12,"121,272",2021,7,20,1,0
7,Aspen,1626742800,39.195,-106.8367,1,183.58,0.03,0.55,70.1,0.25,9.12,10.49,0.68,"7,401",2021,7,20,1,0
8,Ault,1626742800,40.5892,-104.7392,2,196.93,0.06,0.87,118.73,0.37,12.15,13.82,1.33,"1,871",2021,7,20,1,0
9,Aurora,1626742800,39.7083,-104.7239,2,195.27,0.16,2.38,115.87,0.44,12.66,14.51,0.92,"379,289",2021,7,20,1,0
10,Avon,1626742800,39.6442,-106.5131,2,166.89,0.02,0.65,104.43,0.36,9.76,11.09,0.55,"6,511",2021,7,20,1,0
11,Basalt,1626742800,39.3664,-107.0414,2,180.24,0.05,0.83,108.72,0.27,8.91,10.27,0.63,"4,157",2021,7,20,1,0
12,Bayfield,1626742800,37.2342,-107.5953,1,230.31,0.01,1.25,46.49,0.89,6.03,7.01,0.62,"2,689",2021,7,20,1,0
13,Bennett,1626742800,39.7367,-104.4286,2,191.93,0.06,1.06,114.44,0.29,12.77,14.66,0.89,"2,798",2021,7,20,1,0
14,Berthoud,1626742800,40.3072,-105.0425,3,195.27,0.12,1.8,121.59,0.43,13.47,15.11,1.06,"9,094",2021,7,20,1,0
15,Bethune,1626742800,39.3039,-102.4233,2,200.27,0.03,0.59,82.97,0.12,7.52,8.38,1.06,235,2021,7,20,1,0
16,Black Hawk,1626742800,39.8042,-105.495,3,175.24,0.07,0.88,124.45,0.75,14.46,16.09,0.74,128,2021,7,20,1,0
17,Blanca,1626742800,37.4392,-105.5136,2,180.24,0.03,0.32,98.71,0.2,9.26,10.88,0.66,406,2021,7,20,1,0
18,Blue River,1626742800,39.4358,-106.0353,3,186.92,0.07,0.95,124.45,1.36,15.78,17.44,0.62,921,2021,7,20,1,0
19,Bonanza,1626742800,38.2967,-106.1419,2,178.58,0.04,0.5,97.28,0.5,9.94,11.24,0.63,19,2021,7,20,1,0
20,Boone,1626742800,38.2494,-104.2581,2,198.6,0.03,0.48,94.41,0.13,6.37,8.0,0.78,367,2021,7,20,1,0
21,Boulder,1626742800,40.0247,-105.2525,3,191.93,0.1,1.48,137.33,0.63,15.32,17.09,1.0,"105,673",2021,7,20,1,0
22,Bow Mar,1626742800,39.6253,-105.0511,3,213.62,0.46,7.11,128.75,1.89,14.19,16.01,1.06,942,2021,7,20,1,0
23,Branson,1626742800,37.0156,-103.8839,2,193.6,0.02,0.38,84.4,0.1,5.07,5.56,0.73,72,2021,7,20,1,0
24,Breckenridge,1626742800,39.4994,-106.0433,3,186.92,0.07,0.95,124.45,1.36,15.78,17.44,0.62,"4,945",2021,7,20,1,0
25,Brighton,1626742800,39.9717,-104.7964,3,200.27,0.14,2.64,120.16,0.36,12.98,14.79,1.19,"41,554",2021,7,20,1,0
26,Brookside,1626742800,38.4136,-105.1908,2,183.58,0.03,0.43,92.98,0.43,7.0,8.41,0.83,262,2021,7,20,1,0
27,Broomfield,1626742800,39.9542,-105.0528,3,208.62,0.29,4.63,130.18,0.83,14.58,16.34,1.12,"70,465",2021,7,20,1,0
28,Brush,1626742800,40.26,-103.6322,2,195.27,0.05,0.78,97.28,0.28,9.92,11.1,1.24,"5,420",2021,7,20,1,0
29,Buena Vista,1626742800,38.8319,-106.1386,2,178.58,0.04,0.68,115.87,0.54,12.21,13.6,0.53,"2,866",2021,7,20,1,0
30,Burlington,1626742800,39.3042,-102.2714,2,200.27,0.04,0.66,80.11,0.1,6.54,7.14,1.08,"3,140",2021,7,20,1,0
31,Calhan,1626742800,39.0344,-104.2994,2,188.59,0.04,0.54,98.71,0.19,9.51,10.8,1.0,834,2021,7,20,1,0
32,Campo,1626742800,37.1047,-102.5789,1,185.25,0.03,0.41,65.09,0.05,4.09,4.43,0.76,102,2021,7,20,1,0
33,Ca–on City,1626742800,38.4431,-105.2203,2,183.58,0.04,0.61,98.71,0.62,8.15,9.56,0.91,"16,725",2021,7,20,1,0
34,Carbonate,1626742800,39.7442,-107.3392,2,195.27,0.01,0.24,79.39,0.32,13.01,14.28,4.5,0,2021,7,20,1,0
35,Carbondale,1626742800,39.395,-107.2147,1,186.92,0.05,0.85,67.23,0.24,9.39,10.95,0.69,"6,898",2021,7,20,1,0
