,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
0,Aguilar,1631048400,37.4036,-104.655,3,233.65,0.08,0.64,173.09,1.13,23.35,28.09,1.25,480,2021,9,7,21,0
1,Akron,1631048400,40.1633,-103.2203,2,233.65,0.08,0.41,101.57,0.14,12.0,15.91,1.38,"1,723",2021,9,7,21,0
2,Alamosa,1631048400,37.4753,-105.8769,3,188.59,0.07,0.41,128.75,0.4,10.87,11.9,0.73,"9,591",2021,9,7,21,0
3,Alma,1631048400,39.2858,-106.0669,2,185.25,0.09,0.48,110.15,0.5,17.86,19.81,0.59,313,2021,9,7,21,0
4,Antonito,1631048400,37.0761,-106.0103,3,185.25,0.05,0.29,121.59,0.35,9.08,9.88,0.7,747,2021,9,7,21,0
5,Arriba,1631048400,39.2844,-103.2742,2,223.64,0.06,0.27,97.28,0.13,12.51,15.54,1.43,207,2021,9,7,21,0
6,Arvada,1631048400,39.8319,-105.1511,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"121,272",2021,9,7,21,0
7,Aspen,1631048400,39.195,-106.8367,3,203.61,0.05,0.28,125.89,0.21,19.91,22.35,0.84,"7,401",2021,9,7,21,0
8,Ault,1631048400,40.5892,-104.7392,2,233.65,0.08,0.41,105.86,0.25,16.9,20.88,1.74,"1,871",2021,9,7,21,0
9,Aurora,1631048400,39.7083,-104.7239,3,240.33,0.24,1.41,128.75,0.68,20.4,23.36,1.74,"379,289",2021,9,7,21,0
10,Avon,1631048400,39.6442,-106.5131,4,223.64,0.06,0.4,143.05,0.95,26.68,28.7,0.92,"6,511",2021,9,7,21,0
11,Basalt,1631048400,39.3664,-107.0414,3,223.64,0.05,0.34,147.34,0.21,21.73,23.72,1.01,"4,157",2021,9,7,21,0
12,Bayfield,1631048400,37.2342,-107.5953,3,181.91,0.05,0.31,124.45,1.09,11.09,12.0,0.46,"2,689",2021,9,7,21,0
13,Bennett,1631048400,39.7367,-104.4286,2,230.31,0.12,0.62,113.01,0.44,17.37,20.34,1.69,"2,798",2021,9,7,21,0
14,Berthoud,1631048400,40.3072,-105.0425,4,257.02,0.1,0.71,141.62,1.0,26.03,29.68,1.88,"9,094",2021,9,7,21,0
15,Bethune,1631048400,39.3039,-102.4233,2,233.65,0.07,0.39,103.0,0.51,11.97,14.13,1.49,235,2021,9,7,21,0
16,Black Hawk,1631048400,39.8042,-105.495,3,200.27,0.05,0.25,123.02,1.61,20.6,23.61,0.71,128,2021,9,7,21,0
17,Blanca,1631048400,37.4392,-105.5136,3,188.59,0.05,0.28,123.02,0.8,10.2,11.07,0.77,406,2021,9,7,21,0
18,Blue River,1631048400,39.4358,-106.0353,2,190.26,0.05,0.27,118.73,0.76,17.71,19.4,0.63,921,2021,9,7,21,0
19,Bonanza,1631048400,38.2967,-106.1419,3,193.6,0.05,0.28,128.75,0.54,18.97,22.8,0.8,19,2021,9,7,21,0
20,Boone,1631048400,38.2494,-104.2581,4,257.02,0.08,0.59,154.5,0.88,26.75,34.87,1.77,367,2021,9,7,21,0
21,Boulder,1631048400,40.0247,-105.2525,4,247.0,0.09,0.58,141.62,2.44,27.9,32.94,1.69,"105,673",2021,9,7,21,0
22,Bow Mar,1631048400,39.6253,-105.0511,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,942,2021,9,7,21,0
23,Branson,1631048400,37.0156,-103.8839,3,230.31,0.07,0.51,158.79,0.88,19.75,26.77,1.22,72,2021,9,7,21,0
24,Breckenridge,1631048400,39.4994,-106.0433,2,190.26,0.05,0.27,118.73,0.76,17.71,19.4,0.63,"4,945",2021,9,7,21,0
25,Brighton,1631048400,39.9717,-104.7964,3,233.65,0.27,1.54,127.32,0.44,18.88,21.72,1.85,"41,554",2021,9,7,21,0
26,Brookside,1631048400,38.4136,-105.1908,4,243.66,0.08,0.67,178.81,1.62,30.26,37.36,1.12,262,2021,9,7,21,0
27,Broomfield,1631048400,39.9542,-105.0528,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"70,465",2021,9,7,21,0
28,Brush,1631048400,40.26,-103.6322,2,233.65,0.08,0.42,105.86,0.16,13.75,17.98,1.57,"5,420",2021,9,7,21,0
29,Buena Vista,1631048400,38.8319,-106.1386,3,193.6,0.05,0.29,124.45,0.31,18.46,21.83,0.66,"2,866",2021,9,7,21,0
30,Burlington,1631048400,39.3042,-102.2714,2,233.65,0.08,0.42,104.43,0.81,12.0,14.03,1.46,"3,140",2021,9,7,21,0
31,Calhan,1631048400,39.0344,-104.2994,3,236.99,0.06,0.33,123.02,0.67,21.54,24.99,1.79,834,2021,9,7,21,0
32,Campo,1631048400,37.1047,-102.5789,3,240.33,0.07,0.45,144.48,0.97,20.71,26.71,1.49,102,2021,9,7,21,0
33,Ca–on City,1631048400,38.4431,-105.2203,3,223.64,0.07,0.55,160.22,1.51,23.01,27.27,1.0,"16,725",2021,9,7,21,0
34,Carbonate,1631048400,39.7442,-107.3392,4,220.3,0.04,0.23,124.45,0.62,29.75,32.57,1.3,0,2021,9,7,21,0
35,Carbondale,1631048400,39.395,-107.2147,4,230.31,0.07,0.48,133.04,0.24,26.36,28.47,1.14,"6,898",2021,9,7,21,0
36,Castle Pines,1631048400,39.4625,-104.8706,4,267.03,0.52,3.64,163.08,3.43,26.88,30.84,1.88,"10,763",2021,9,7,21,0
37,Castle Rock,1631048400,39.3761,-104.8536,4,260.35,0.18,1.39,165.94,2.09,29.32,34.62,1.62,"68,484",2021,9,7,21,0
38,Cedaredge,1631048400,38.8942,-107.9256,2,198.6,0.12,0.74,98.71,0.23,17.71,19.45,2.01,"2,295",2021,9,7,21,0
39,Centennial,1631048400,39.5925,-104.8672,4,267.03,0.52,3.64,163.08,3.43,26.88,30.84,1.88,"110,937",2021,9,7,21,0
