City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM 2.5,PM 10,NH3,month,day,year
Aguilar,1626289200,37.4036,-104.655,2,230.31,0,0.32,115.87,0.4,19.47,20.73,0.52,1,1,1970
Akron,1626289200,40.1633,-103.2203,2,203.61,0.04,0.41,87.98,0.38,6.92,7.71,1.22,1,1,1970
Alamosa,1626289200,37.4753,-105.8769,2,206.95,0.01,0.25,90.84,0.57,12.11,12.75,0.52,1,1,1970
Alma,1626289200,39.2858,-106.0669,2,216.96,0.01,0.32,91.55,0.32,16.11,17.05,0.36,1,1,1970
Antonito,1626289200,37.0761,-106.0103,1,200.27,0.03,0.51,52.21,0.3,9.21,9.5,1.71,1,1,1970
Arriba,1626289200,39.2844,-103.2742,3,267.03,0.02,0.5,124.45,0.75,24.35,25.86,1.24,1,1,1970
Arvada,1626289200,39.8319,-105.1511,3,280.38,0.13,2.1,115.87,2.03,24.39,26.59,1.39,1,1,1970
Aspen,1626289200,39.195,-106.8367,2,223.64,0,0.08,97.28,0.41,11.69,12.35,0.4,1,1,1970
Ault,1626289200,40.5892,-104.7392,2,213.62,0.04,0.91,94.41,2.15,6.97,7.79,0.9,1,1,1970
Aurora,1626289200,39.7083,-104.7239,3,257.02,0.05,2.04,114.44,1.61,22.17,24.12,1.55,1,1,1970
Avon,1626289200,39.6442,-106.5131,2,230.31,0,0.31,100.14,0.34,9.66,10.83,0.65,1,1,1970
Basalt,1626289200,39.3664,-107.0414,2,233.65,0,0.15,104.43,0.32,10.99,12.11,0.59,1,1,1970
Bayfield,1626289200,37.2342,-107.5953,1,233.65,0.01,0.3,79.39,2.77,7.79,8.56,0.1,1,1,1970
Bennett,1626289200,39.7367,-104.4286,2,230.31,0.03,1.46,104.43,1.3,16.77,18.31,1.3,1,1,1970
Berthoud,1626289200,40.3072,-105.0425,3,287.06,0.03,4.5,73.67,1.77,24.05,25.73,1.52,1,1,1970
Bethune,1626289200,39.3039,-102.4233,3,257.02,0.04,1.09,101.57,0.52,22.63,23.96,1.98,1,1,1970
Black Hawk,1626289200,39.8042,-105.495,2,226.97,0.01,0.14,100.14,0.38,16.89,19.17,0.61,1,1,1970
Blanca,1626289200,37.4392,-105.5136,2,198.6,0.01,0.23,87.98,0.5,9.53,10.02,0.42,1,1,1970
Blue River[c],1626289200,39.4358,-106.0353,2,223.64,0.01,0.23,101.57,0.38,15.33,16.7,0.49,1,1,1970
Bonanza[d],1626289200,38.2967,-106.1419,2,200.27,0,0.16,78.68,0.32,16.34,17.16,0.29,1,1,1970
Boone,1626289200,38.2494,-104.2581,3,263.69,0.01,0.7,131.61,0.51,22.8,25.14,0.93,1,1,1970
Boulder,1626289200,40.0247,-105.2525,2,250.34,0,0.19,114.44,0.69,19.44,21.16,0.6,1,1,1970
Bow Mar,1626289200,39.6253,-105.0511,2,267.03,0.08,1.99,117.3,1.13,18.55,21.19,1.06,1,1,1970
Branson,1626289200,37.0156,-103.8839,2,213.62,0.01,0.49,101.57,0.5,12.37,13.57,0.55,1,1,1970
Breckenridge[g],1626289200,39.4994,-106.0433,2,223.64,0.01,0.23,101.57,0.38,15.33,16.7,0.49,1,1,1970
Brighton,1626289200,39.9717,-104.7964,2,223.64,0.07,1.78,98.71,1.97,13.43,14.83,1.35,1,1,1970
Brookside[h],1626289200,38.4136,-105.1908,2,243.66,0.01,0.26,111.58,0.35,16.19,17.67,0.6,1,1,1970
Broomfield,1626289200,39.9542,-105.0528,3,280.38,0.13,2.1,115.87,2.03,24.39,26.59,1.39,1,1,1970
Brush,1626289200,40.26,-103.6322,2,201.94,0.02,0.41,85.83,0.4,5.09,5.7,1.12,1,1,1970
Buena Vista,1626289200,38.8319,-106.1386,2,211.95,0.01,0.13,97.28,0.4,18.36,19.75,0.35,1,1,1970
Burlington,1626289200,39.3042,-102.2714,2,240.33,0.04,0.83,101.57,0.4,18.78,21.25,1.74,1,1,1970
Calhan,1626289200,39.0344,-104.2994,3,260.35,0,1.84,127.32,1.33,23.26,25.03,0.83,1,1,1970
Campo,1626289200,37.1047,-102.5789,1,178.58,0.01,0.36,65.09,0.13,4.52,9.93,1.05,1,1,1970
Ca–on City,1626289200,38.4431,-105.2203,2,240.33,0.01,0.24,113.01,0.45,18.96,20.87,0.64,1,1,1970
Carbonate[k],1626289200,39.7442,-107.3392,2,226.97,0,0.12,77.96,0.3,10.87,11.55,1.22,1,1,1970
Carbondale,1626289200,39.395,-107.2147,2,230.31,0,0.25,88.69,0.33,9.71,10.74,0.72,1,1,1970
Castle Pines,1626289200,39.4625,-104.8706,3,310.42,0.57,9.25,130.18,4.77,22.03,24.42,1.5,1,1,1970
Castle Rock,1626289200,39.3761,-104.8536,3,283.72,0.12,3.3,121.59,2.06,18.9,20.67,0.85,1,1,1970
Cedaredge,1626289200,38.8942,-107.9256,1,226.97,0.02,0.6,77.25,0.57,9.22,10.07,1.69,1,1,1970
Centennial,1626289200,39.5925,-104.8672,3,310.42,0.57,9.25,130.18,4.77,22.03,24.42,1.5,1,1,1970
Center,1626289200,37.7511,-106.1106,2,213.62,0,0.29,98.71,0.63,11.95,12.9,0.44,1,1,1970
Central City,1626289200,39.7947,-105.5119,2,230.31,0.01,0.14,113.01,0.36,18.69,21.78,0.71,1,1,1970
Cheraw,1626289200,38.1075,-103.5111,2,247.0,0.01,0.96,107.29,0.57,18.24,25.32,1.28,1,1,1970
Cherry Hills Village,1626289200,39.6375,-104.9481,4,290.39,0.13,4.88,120.16,2.86,25.21,27.52,1.65,1,1,1970
Cheyenne Wells,1626289200,38.8192,-102.3519,2,213.62,0.03,0.55,92.98,0.28,12.31,18.18,1.05,1,1,1970
Coal Creek,1626289200,38.3622,-105.1422,3,250.34,0.02,0.34,121.59,0.72,20.2,21.93,0.71,1,1,1970
Cokedale,1626289200,37.1442,-104.6217,2,201.94,0.01,0.25,90.84,0.44,12.97,14.82,0.42,1,1,1970
Collbran,1626289200,39.24,-107.9636,2,240.33,0.01,0.39,103.0,0.31,7.6,9.24,0.88,1,1,1970
Colorado Springs,1626289200,38.8675,-104.7606,3,236.99,0.01,0.55,121.59,0.34,22.32,23.7,0.59,1,1,1970
Columbine Valley[m],1626289200,39.5994,-105.0353,2,253.68,0.03,1.34,114.44,0.72,18.08,20.9,0.74,1,1,1970
Commerce City,1626289200,39.8642,-104.8431,2,257.02,0.13,2.25,110.15,1.91,19.09,21.08,1.58,1,1,1970
Cortez,1626289200,37.3503,-108.5767,2,247.0,0.02,0.2,104.43,0.93,11.16,12.54,0.66,1,1,1970
Craig,1626289200,40.5169,-107.5553,2,198.6,0.01,0.17,107.29,0.16,10.76,12.98,0.71,1,1,1970
Crawford,1626289200,38.705,-107.6097,3,277.04,0.01,0.18,125.89,0.43,21.56,23.51,0.82,1,1,1970
Creede,1626289200,37.8486,-106.9253,2,205.28,0.01,0.14,77.25,0.2,18.56,20.36,0.4,1,1,1970
Crested Butte,1626289200,38.8675,-106.9772,2,223.64,0,0.09,88.69,0.33,14.41,15.23,0.35,1,1,1970
Crestone,1626289200,37.9944,-105.6961,2,206.95,0.01,0.13,97.28,0.32,14.49,15.69,0.53,1,1,1970
Cripple Creek,1626289200,38.7467,-105.185,2,233.65,0.01,0.68,90.12,0.28,11.68,12.82,0.52,1,1,1970
